"task","model_type","tau","latency_ms","accuracy","avg_depth","avg_retention","bs","device"
"sst2","bert","","10,112108271203622","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,344150486319222","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,504756691060345","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,837609609700865","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,973926034347842","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","11,117767031442481","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,566512165148403","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,7477665455545095","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,975970194581273","0,9038929440389294","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","6,00058126527875","0,9038929440389294","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","6,132654014697532","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,8","16,2737051093296","0,902676399026764","11,19221411192214","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,85","16,02469489097067","0,9051094890510949","11,211678832116789","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,9","16,219426034281252","0,9051094890510949","11,231143552311435","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,9","17,800934428462153","0,9051094890510949","11,231143552311435","0,5242617222006883","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,95","16,381910219376422","0,9051094890510949","11,279805352798054","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
bert,,12.6149,0.9246,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,5.8407,0.9039,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,10.0217,0.8978,5.800,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,10.4196,0.8978,6.238,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,11.4256,0.9051,6.929,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,12.0291,0.9075,8.049,0.525,1,NVIDIA GeForce RTX 2080 Ti
bert,,10.8001,0.9246,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,5.9573,0.9039,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,9.7959,0.8978,5.800,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,10.6967,0.8978,6.238,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,10.6073,0.9051,6.929,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,12.5244,0.9075,8.049,0.525,1,NVIDIA GeForce RTX 2080 Ti
bert,,0.9262,0.9243,,,32,NVIDIA GeForce RTX 2080 Ti
distilbert,,0.4392,0.9037,,,32,NVIDIA GeForce RTX 2080 Ti
eat,0.90,1.1946,0.9071,11.714,0.525,32,NVIDIA GeForce RTX 2080 Ti
bert,,10.0986,0.9246,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,5.4166,0.9039,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,9.6092,0.8978,5.800,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,10.8933,0.8978,6.238,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,11.2836,0.9051,6.929,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,11.7948,0.9075,8.049,0.525,1,NVIDIA GeForce RTX 2080 Ti
bert,,0.8440,0.9243,,,32,NVIDIA GeForce RTX 2080 Ti
distilbert,,0.4382,0.9037,,,32,NVIDIA GeForce RTX 2080 Ti
eat,0.90,1.1677,0.9071,11.714,0.525,32,NVIDIA GeForce RTX 2080 Ti
bert,,10.2249,0.9246,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,5.3782,0.9039,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,10.1680,0.8978,5.800,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,10.1737,0.8978,6.238,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,10.6320,0.9051,6.929,0.525,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,12.7431,0.9075,8.049,0.525,1,NVIDIA GeForce RTX 2080 Ti
bert,,0.8685,0.9243,,,32,NVIDIA GeForce RTX 2080 Ti
distilbert,,0.4719,0.9037,,,32,NVIDIA GeForce RTX 2080 Ti
eat,0.90,1.1630,0.9071,11.714,0.525,32,NVIDIA GeForce RTX 2080 Ti
